timesteps,loss,policy_gradient_loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance
622592,22023.69140625,-0.0029207086487076594,124870.65444407464,-0.8874446216155775,0.005547095,0.03916015625,0.08734333515167236
638976,368068.46875,-0.0017503911984022124,220197.08152697087,-0.8490452263853513,0.004031349,0.025885009765625,0.08658021688461304
655360,164095.90625,-0.001798535948546487,263607.60228261945,-0.7766465271706693,0.0039648637,0.02664794921875,0.14998596906661987
671744,92247.0390625,-0.0010405993161839433,333209.3050444603,-0.7548414747347124,0.0031114137,0.020904541015625,0.14978563785552979
688128,114996.5859375,-0.0012448223305000284,345787.8247039795,-0.7167418511176947,0.0028262832,0.012786865234375,0.1874052882194519
704512,150741.59375,-0.0014536291566400906,319672.3232933044,-0.6916165409435052,0.0029326666,0.01195068359375,0.2046431303024292
720896,294961.8125,-0.00118400903447764,350633.1476295471,-0.6928498644381762,0.0034540184,0.029705810546875,0.2153223752975464
737280,129134.890625,-0.00024262748629553244,332081.2957027435,-0.6857505836116615,0.0023683356,0.013970947265625,0.24283653497695923
753664,192070.09375,-0.0012470362843487238,306208.775850296,-0.6976355593302287,0.003576977,0.02540283203125,0.249259352684021
770048,177207.046875,-0.0005232746619185491,308327.37725887296,-0.6869701977120712,0.001471944,0.00565185546875,0.27734822034835815
786432,187975.96875,-0.0006484976238425588,300218.72579536436,-0.7062395453453064,0.0026717987,0.019171142578125,0.27693724632263184
802816,105739.9765625,-0.0014979412842876627,293076.3092655182,-0.6810263885767199,0.0022156085,0.015472412109375,0.3031543493270874
819200,30870.2734375,-0.00024119313675328158,293077.8587837219,-0.6823508641333319,0.002111352,0.00958251953125,0.3138555884361267
835584,58329.78515625,-0.001864744746580982,285755.3947982788,-0.6786811933969148,0.0017282657,0.009722900390625,0.32726675271987915
851968,47656.03125,-0.0013059840168352821,251625.85270118713,-0.6890999869501684,0.0028439348,0.01453857421875,0.3337133526802063
868352,191652.78125,-0.0007476793291061768,261518.1694858551,-0.6963830095017329,0.0027077843,0.019097900390625,0.35308027267456055
884736,152095.78125,-0.0013858770709703095,268212.0381519318,-0.6815016417822335,0.0025005713,0.0159912109375,0.368277370929718
901120,62269.00390625,-0.0004924840934108943,277882.6804336548,-0.6646168718580157,0.0011351395,0.0059326171875,0.3886941075325012
917504,31863.138671875,-0.00043183110228710574,258059.97633037568,-0.6545470041513909,0.0013940141,0.00263671875,0.39685773849487305
933888,207807.4375,-0.0003414932451050845,256128.10115089416,-0.6330708286026493,0.0010133495,0.001416015625,0.43705588579177856
950272,214935.390625,-0.0006175481590616983,247699.2273569107,-0.6199438905809075,0.0020882478,0.007427978515625,0.4408905506134033
966656,139430.609375,-0.001273669564488955,267572.17423505784,-0.6289580274431501,0.0026017353,0.01317138671875,0.41945910453796387
983040,53929.03125,-0.0019978125628767884,242258.25749721527,-0.6377256360719912,0.0031261654,0.030657958984375,0.42251700162887573
999424,10092.98828125,-0.0018384682139185315,226661.21343364715,-0.6319720034429338,0.0017920941,0.013726806640625,0.4996079206466675
1015808,155086.453125,-0.00151634316171112,243981.4832807541,-0.6257371412822976,0.002468225,0.0171142578125,0.45055973529815674
1032192,61672.71484375,-0.0011220598138606875,248440.9439552307,-0.6326891546370461,0.0017962889,0.020849609375,0.48521673679351807
1048576,97212.953125,-0.0005007423726965498,228067.47955513,-0.6362106307875365,0.0017653257,0.014971923828125,0.4994531273841858
